txn_id,sender_id,receiver_id,amount,txn_type,txn_timestamp,channel
TXN0046354,ACC0003506,ACC0002957,680.19,P2M,2026-08-01 08:27:15.820546,QR
TXN0023657,ACC0003047,ACC0000791,3672.32,P2P,2026-08-01 08:27:33.552486,UPI_APP
TXN0015659,ACC0004123,ACC0000581,245.67,P2P,2026-08-01 08:27:50.329316,INTENT
TXN0007177,ACC0002498,ACC0000777,224.47,P2P,2026-08-01 08:28:29.682437,INTENT
TXN0003339,ACC0000114,ACC0004310,1973.49,P2P,2026-08-01 08:28:44.767166,INTENT
TXN0041014,ACC0002546,ACC0004162,3487.14,P2P,2026-08-01 08:28:59.366070,QR
TXN0029629,ACC0001651,ACC0004269,2765.49,P2P,2026-08-01 08:29:25.395455,UPI_APP
TXN0011441,ACC0004409,ACC0002256,472.29,P2P,2026-08-01 08:29:37.025863,UPI_APP
TXN0047570,ACC0001209,ACC0001211,684.44,P2P,2026-08-01 08:29:46.444784,QR
TXN0038128,ACC0001248,ACC0001259,353.52,P2P,2026-08-01 08:29:56.825996,INTENT
TXN0004531,ACC0002881,ACC0002598,1843.22,P2P,2026-08-01 08:30:08.710555,QR
TXN0022022,ACC0003320,ACC0000878,234.59,P2M,2026-08-01 08:31:23.734997,INTENT
TXN0027157,ACC0003419,ACC0003092,2840.43,P2P,2026-08-01 08:31:50.964809,QR
TXN0011491,ACC0003142,ACC0003377,403.64,P2P,2026-08-01 08:31:57.659451,INTENT
TXN0016206,ACC0004127,ACC0003555,1204.92,P2P,2026-08-01 08:32:08.859995,INTENT
TXN0049294,ACC0003431,ACC0004337,688.76,P2P,2026-08-01 08:32:14.764530,UPI_APP
TXN0034762,ACC0004218,ACC0002724,1115.47,P2P,2026-08-01 08:32:17.467337,INTENT
TXN0014687,ACC0004304,ACC0000141,1109.36,REFUND,2026-08-01 08:32:42.524861,INTENT
TXN0015014,ACC0003738,ACC0003187,1407.08,P2P,2026-08-01 08:32:45.728227,UPI_APP
TXN0008884,ACC0003322,ACC0001855,212.18,P2P,2026-08-01 08:32:49.913555,INTENT
TXN0022760,ACC0003716,ACC0001406,240.51,P2M,2026-08-01 08:32:53.007992,UPI_APP
TXN0021643,ACC0003574,ACC0000466,298.21,P2P,2026-08-01 08:33:06.287691,QR
TXN0009979,ACC0004305,ACC0001774,987.11,P2P,2026-08-01 08:33:16.849151,INTENT
TXN0049824,ACC0000163,ACC0001790,2558.24,P2P,2026-08-01 08:33:29.865177,INTENT
TXN0038362,ACC0001796,ACC0003864,1058.72,P2P,2026-08-01 08:33:34.845522,QR
TXN0034599,ACC0002250,ACC0001485,561.32,P2P,2026-08-01 08:33:56.510745,QR
TXN0028906,ACC0002896,ACC0000445,259.83,P2P,2026-08-01 08:34:05.271396,INTENT
TXN0047069,ACC0000692,ACC0000559,559.51,P2M,2026-08-01 08:34:21.064106,INTENT
TXN0025684,ACC0003539,ACC0002581,1379.52,P2P,2026-08-01 08:34:33.990434,QR
TXN0029163,ACC0002806,ACC0003587,119.25,P2P,2026-08-01 08:34:36.418290,UPI_APP
TXN0043762,ACC0001216,ACC0003606,4106.4,P2P,2026-08-01 08:35:03.848782,INTENT
TXN0026202,ACC0001906,ACC0002707,1053.53,P2M,2026-08-01 08:35:18.759068,INTENT
TXN0032745,ACC0001486,ACC0002049,633.36,P2P,2026-08-01 08:35:30.759332,QR
TXN0015021,ACC0001989,ACC0004276,411.09,P2P,2026-08-01 08:35:33.198497,QR
TXN0022057,ACC0003572,ACC0003250,115.57,P2P,2026-08-01 08:36:29.516650,QR
TXN0035025,ACC0002816,ACC0000540,837.14,P2P,2026-08-01 08:36:30.921649,UPI_APP
TXN0035361,ACC0003582,ACC0003446,1383.72,REFUND,2026-08-01 08:37:01.221439,QR
TXN0020686,ACC0000303,ACC0002688,377.76,P2P,2026-08-01 08:37:02.940409,QR
TXN0034409,ACC0000209,ACC0004406,855.78,P2P,2026-08-01 08:37:46.767459,UPI_APP
TXN0018816,ACC0003382,ACC0000058,371.05,P2P,2026-08-01 08:37:47.586240,UPI_APP
TXN0024615,ACC0000138,ACC0004491,1364.2,P2P,2026-08-01 08:38:02.582896,QR
TXN0027346,ACC0001227,ACC0002841,241.6,P2P,2026-08-01 08:38:08.917901,UPI_APP
TXN0016506,ACC0004312,ACC0004215,957.26,P2P,2026-08-01 08:38:25.304545,QR
TXN0001546,ACC0001392,ACC0004224,225.66,P2P,2026-08-01 08:38:49.115690,UPI_APP
TXN0045027,ACC0003024,ACC0001713,1004.5,P2M,2026-08-01 08:39:33.054094,UPI_APP
TXN0031131,ACC0002168,ACC0002065,1157.22,P2M,2026-08-01 08:39:42.672639,UPI_APP
TXN0011169,ACC0003436,ACC0003491,1965.27,P2P,2026-08-01 08:39:45.076349,INTENT
TXN0040049,ACC0001061,ACC0003014,120.47,P2P,2026-08-01 08:40:10.574034,QR
TXN0015602,ACC0001612,ACC0004165,170.89,P2M,2026-08-01 08:40:18.516470,QR
TXN0027138,ACC0002094,ACC0003451,189.5,P2P,2026-08-01 08:40:27.452628,UPI_APP
TXN0029842,ACC0002833,ACC0003037,1443.89,P2P,2026-08-01 08:40:50.860732,UPI_APP
TXN0006717,ACC0002812,ACC0000868,2477.82,P2P,2026-08-01 08:41:17.688096,UPI_APP
TXN0032205,ACC0003945,ACC0001028,813.78,P2P,2026-08-01 08:41:33.049872,QR
TXN0025965,ACC0000264,ACC0000035,4645.69,P2P,2026-08-01 08:41:35.803770,UPI_APP
TXN0042195,ACC0000042,ACC0002755,944.04,P2P,2026-08-01 08:41:57.307600,QR
TXN0046405,ACC0002403,ACC0001139,1457.13,REFUND,2026-08-01 08:42:17.097782,UPI_APP
TXN0043776,ACC0000776,ACC0004306,385.83,P2P,2026-08-01 08:42:24.735432,INTENT
TXN0018614,ACC0004383,ACC0002642,578.32,P2P,2026-08-01 08:42:24.837257,UPI_APP
TXN0028519,ACC0001158,ACC0004219,1444.26,P2P,2026-08-01 08:42:31.801641,QR
TXN0021423,ACC0004403,ACC0004324,142.99,P2M,2026-08-01 08:42:32.672606,QR
TXN0032826,ACC0004420,ACC0003877,138.35,P2M,2026-08-01 08:43:05.557832,QR
TXN0027171,ACC0002222,ACC0001347,1454.15,P2P,2026-08-01 08:43:16.855991,QR
TXN0001468,ACC0003311,ACC0000456,454.95,P2M,2026-08-01 08:43:44.274216,UPI_APP
TXN0017299,ACC0000074,ACC0002853,1794.54,P2M,2026-08-01 08:44:04.815113,QR
TXN0034261,ACC0002561,ACC0003466,840.74,P2P,2026-08-01 08:44:39.186487,QR
TXN0019223,ACC0000345,ACC0002687,422.64,P2P,2026-08-01 08:44:58.062246,UPI_APP
TXN0047816,ACC0004211,ACC0000859,366.74,P2P,2026-08-01 08:45:28.609368,INTENT
TXN0009018,ACC0001294,ACC0003068,129.28,P2M,2026-08-01 08:45:30.272939,QR
TXN0029305,ACC0002277,ACC0003146,341.58,P2P,2026-08-01 08:45:34.917594,QR
TXN0019581,ACC0003449,ACC0003044,713.97,P2P,2026-08-01 08:45:49.239995,QR
TXN0033870,ACC0000955,ACC0001976,166.84,P2M,2026-08-01 08:45:57.451097,INTENT
TXN0009851,ACC0001269,ACC0003667,806.78,P2P,2026-08-01 08:46:05.931886,UPI_APP
TXN0027201,ACC0001410,ACC0003752,3406.88,P2M,2026-08-01 08:46:13.983617,INTENT
TXN0037468,ACC0003073,ACC0000768,580.14,P2M,2026-08-01 08:46:53.880294,INTENT
TXN0047833,ACC0001742,ACC0001462,537.52,P2P,2026-08-01 08:47:13.090205,UPI_APP
TXN0027120,ACC0002680,ACC0002792,1138.05,P2P,2026-08-01 08:47:31.740225,INTENT
TXN0045860,ACC0002285,ACC0003847,639.02,P2P,2026-08-01 08:47:36.498054,INTENT
TXN0013472,ACC0001692,ACC0003991,499.52,P2M,2026-08-01 08:47:40.620082,QR
TXN0018788,ACC0000809,ACC0000406,1107.49,P2P,2026-08-01 08:47:49.853356,INTENT
TXN0013946,ACC0003756,ACC0001570,962.25,P2P,2026-08-01 08:48:01.964090,UPI_APP
TXN0018893,ACC0003465,ACC0001871,561.21,P2P,2026-08-01 08:48:10.323907,UPI_APP
TXN0025078,ACC0000207,ACC0001236,4381.76,P2P,2026-08-01 08:48:17.195394,UPI_APP
TXN0001711,ACC0004205,ACC0002473,1194.33,P2M,2026-08-01 08:48:17.447302,QR
TXN0045213,ACC0001639,ACC0003332,690.5,P2M,2026-08-01 08:48:18.409650,QR
TXN0005024,ACC0002876,ACC0000345,1061.43,P2P,2026-08-01 08:48:23.137793,QR
TXN0010196,ACC0002305,ACC0003025,324.01,P2P,2026-08-01 08:49:01.598072,QR
TXN0028929,ACC0001454,ACC0000277,3429.4,P2P,2026-08-01 08:49:12.251616,UPI_APP
TXN0003436,ACC0001565,ACC0000114,198.43,P2P,2026-08-01 08:49:19.285738,INTENT
TXN0002248,ACC0000727,ACC0000375,329.13,P2M,2026-08-01 08:49:52.558437,QR
TXN0038174,ACC0000175,ACC0003126,115.68,P2P,2026-08-01 08:49:58.083698,INTENT
TXN0022203,ACC0002209,ACC0002055,462.0,P2M,2026-08-01 08:50:36.578096,UPI_APP
TXN0016559,ACC0001772,ACC0003198,410.81,P2P,2026-08-01 08:50:56.660483,INTENT
TXN0017967,ACC0000537,ACC0002327,1377.69,P2P,2026-08-01 08:51:49.711845,QR
TXN0015118,ACC0000781,ACC0001608,171.07,P2P,2026-08-01 08:51:54.985881,QR
TXN0041174,ACC0000839,ACC0001377,128.55,P2P,2026-08-01 08:52:03.813053,INTENT
TXN0005127,ACC0002350,ACC0001927,155.73,P2M,2026-08-01 08:52:06.762261,QR
TXN0038859,ACC0002560,ACC0002450,158.98,P2P,2026-08-01 08:52:08.678899,UPI_APP
TXN0046973,ACC0000185,ACC0002814,572.55,P2M,2026-08-01 08:52:09.540531,INTENT
TXN0030211,ACC0003533,ACC0003709,1078.66,P2P,2026-08-01 08:52:14.474971,QR
TXN0038781,ACC0001358,ACC0002099,1348.87,P2P,2026-08-01 08:52:38.013402,UPI_APP
TXN0031861,ACC0003578,ACC0000581,767.35,P2P,2026-08-01 08:52:38.616276,UPI_APP
TXN0023093,ACC0000347,ACC0002757,357.52,P2M,2026-08-01 08:52:46.118433,INTENT
TXN0039104,ACC0000658,ACC0004415,366.87,P2M,2026-08-01 08:53:09.154089,QR
TXN0021492,ACC0003605,ACC0002828,43.46,P2P,2026-08-01 08:53:19.877944,UPI_APP
TXN0036848,ACC0002689,ACC0001823,1429.72,P2P,2026-08-01 08:53:25.283358,INTENT
TXN0024813,ACC0000533,ACC0000248,389.35,P2P,2026-08-01 08:53:31.349898,UPI_APP
TXN0034492,ACC0004073,ACC0004070,681.14,P2M,2026-08-01 08:53:48.021324,INTENT
TXN0014359,ACC0004445,ACC0004390,580.15,P2P,2026-08-01 08:53:48.339006,INTENT
TXN0048888,ACC0000677,ACC0000959,843.59,P2P,2026-08-01 08:53:50.439488,INTENT
TXN0010478,ACC0000037,ACC0000581,1662.21,P2P,2026-08-01 08:54:48.800091,INTENT
TXN0020949,ACC0000105,ACC0003097,924.5,P2M,2026-08-01 08:54:57.057822,UPI_APP
TXN0044650,ACC0001744,ACC0002424,371.47,P2M,2026-08-01 08:55:00.928161,QR
TXN0017890,ACC0001271,ACC0003494,859.53,P2P,2026-08-01 08:55:28.210838,UPI_APP
TXN0019044,ACC0003093,ACC0001790,479.09,P2P,2026-08-01 08:55:36.189384,UPI_APP
TXN0041597,ACC0000457,ACC0004167,93.01,P2P,2026-08-01 08:55:41.316488,QR
TXN0042793,ACC0001575,ACC0003658,213.66,P2M,2026-08-01 08:55:46.711726,QR
TXN0038269,ACC0002768,ACC0002418,2175.2,P2P,2026-08-01 08:55:53.613657,INTENT
TXN0042150,ACC0004339,ACC0003881,470.63,P2P,2026-08-01 08:56:08.288479,INTENT
TXN0011992,ACC0001683,ACC0000504,333.04,P2P,2026-08-01 08:56:17.465916,QR
TXN0034674,ACC0002472,ACC0003521,2058.1,P2P,2026-08-01 08:56:35.050890,UPI_APP
TXN0012512,ACC0000945,ACC0002506,157.85,P2P,2026-08-01 08:56:39.352781,UPI_APP
TXN0003381,ACC0000663,ACC0004258,1205.3,P2M,2026-08-01 08:56:39.824104,QR
TXN0026445,ACC0003511,ACC0004039,279.62,P2P,2026-08-01 08:56:41.002051,INTENT
TXN0036301,ACC0000285,ACC0000088,958.0,P2P,2026-08-01 08:56:49.356148,QR
TXN0006783,ACC0001859,ACC0000071,169.05,REFUND,2026-08-01 08:56:54.613634,UPI_APP
TXN0025593,ACC0002381,ACC0001500,53.96,P2P,2026-08-01 08:57:02.035157,INTENT
TXN0005208,ACC0003626,ACC0003999,2276.66,P2M,2026-08-01 08:57:03.625402,QR
TXN0005223,ACC0002926,ACC0002433,525.45,P2P,2026-08-01 08:57:09.197855,UPI_APP
TXN0011693,ACC0000024,ACC0001361,2952.66,P2P,2026-08-01 08:57:52.614954,INTENT
TXN0034437,ACC0000182,ACC0004269,1033.35,P2M,2026-08-01 08:58:21.411730,QR
TXN0026105,ACC0003193,ACC0001101,512.95,P2P,2026-08-01 08:58:21.676021,INTENT
TXN0005204,ACC0004231,ACC0001669,2344.96,P2P,2026-08-01 08:58:27.451181,QR
TXN0027900,ACC0001576,ACC0001242,922.28,P2P,2026-08-01 08:58:34.060300,QR
TXN0018678,ACC0000127,ACC0003092,584.05,P2P,2026-08-01 08:58:37.564236,UPI_APP
TXN0004001,ACC0002377,ACC0001605,230.87,P2P,2026-08-01 08:58:50.079095,UPI_APP
TXN0006894,ACC0001254,ACC0003450,1550.54,REFUND,2026-08-01 08:58:53.546178,QR
TXN0013519,ACC0002658,ACC0000583,1830.34,P2M,2026-08-01 08:58:55.453177,UPI_APP
TXN0036371,ACC0002733,ACC0002221,774.07,P2P,2026-08-01 08:59:48.920392,UPI_APP
TXN0001803,ACC0003407,ACC0003285,691.71,P2P,2026-08-01 08:59:51.809196,UPI_APP
TXN0009879,ACC0000202,ACC0004122,1015.83,P2P,2026-08-01 08:59:54.250245,UPI_APP
TXN0036544,ACC0001781,ACC0003707,1571.15,P2M,2026-08-01 08:59:55.685905,UPI_APP
TXN0005483,ACC0003489,ACC0001823,222.72,P2P,2026-08-01 09:00:02.857240,QR
TXN0039648,ACC0002271,ACC0002020,1352.41,P2P,2026-08-01 09:00:03.164714,INTENT
TXN0009783,ACC0001967,ACC0000139,1421.59,P2M,2026-08-01 09:00:15.526532,QR
TXN0011387,ACC0000846,ACC0004220,548.79,P2P,2026-08-01 09:00:23.693592,INTENT
TXN0033793,ACC0001016,ACC0003030,357.69,P2P,2026-08-01 09:00:33.096809,INTENT
TXN0013385,ACC0003616,ACC0002784,375.85,P2P,2026-08-01 09:00:40.566838,UPI_APP
TXN0021630,ACC0003299,ACC0000099,474.83,P2P,2026-08-01 09:00:41.962467,UPI_APP
TXN0047383,ACC0003049,ACC0000811,429.41,P2M,2026-08-01 09:00:42.872766,QR
TXN0010708,ACC0001580,ACC0001273,953.12,P2M,2026-08-01 09:00:43.705447,QR
TXN0020141,ACC0002662,ACC0004082,897.31,REFUND,2026-08-01 09:00:47.507334,UPI_APP
TXN0024367,ACC0001934,ACC0000469,177.83,P2P,2026-08-01 09:00:58.659852,UPI_APP
TXN0014346,ACC0002024,ACC0000450,526.29,P2P,2026-08-01 09:01:03.251532,UPI_APP
TXN0022722,ACC0000071,ACC0001497,149.89,P2P,2026-08-01 09:01:14.900354,UPI_APP
TXN0048677,ACC0002097,ACC0003046,910.6,P2P,2026-08-01 09:01:17.743749,QR
TXN0012916,ACC0004478,ACC0000726,314.14,P2P,2026-08-01 09:01:18.117768,UPI_APP
TXN0015572,ACC0000156,ACC0003359,369.65,P2M,2026-08-01 09:01:36.847233,INTENT
TXN0025326,ACC0003000,ACC0000265,1993.94,P2P,2026-08-01 09:01:48.054793,QR
TXN0045395,ACC0001170,ACC0000230,378.22,REFUND,2026-08-01 09:02:13.324645,UPI_APP
TXN0024637,ACC0001987,ACC0001807,582.68,P2P,2026-08-01 09:02:22.329362,INTENT
TXN0032305,ACC0000103,ACC0002191,1091.73,P2P,2026-08-01 09:02:29.641429,QR
TXN0033012,ACC0000349,ACC0000097,821.19,P2M,2026-08-01 09:02:30.618959,UPI_APP
TXN0032473,ACC0003751,ACC0001393,739.38,P2M,2026-08-01 09:02:50.431307,QR
TXN0009710,ACC0003949,ACC0003309,246.53,P2P,2026-08-01 09:02:51.485505,UPI_APP
TXN0046693,ACC0003884,ACC0001620,437.08,P2P,2026-08-01 09:02:54.922728,INTENT
TXN0045822,ACC0004045,ACC0001697,2214.25,P2M,2026-08-01 09:02:56.437658,QR
TXN0033710,ACC0003470,ACC0002571,1500.29,P2P,2026-08-01 09:03:12.879593,QR
TXN0045819,ACC0000479,ACC0002778,715.77,P2P,2026-08-01 09:03:13.481919,QR
TXN0007560,ACC0001187,ACC0003204,1509.98,P2P,2026-08-01 09:03:13.874320,QR
TXN0041836,ACC0001123,ACC0002482,591.4,P2P,2026-08-01 09:03:19.003738,INTENT
TXN0028564,ACC0001338,ACC0002126,366.75,P2P,2026-08-01 09:03:21.173551,UPI_APP
TXN0035903,ACC0004215,ACC0004167,104.88,P2M,2026-08-01 09:03:27.940847,UPI_APP
TXN0002624,ACC0000754,ACC0002103,3475.32,P2P,2026-08-01 09:03:28.177190,QR
TXN0047195,ACC0004342,ACC0001732,2936.53,P2M,2026-08-01 09:03:30.509517,INTENT
TXN0031003,ACC0003364,ACC0003528,1117.34,P2P,2026-08-01 09:03:46.120432,QR
TXN0032012,ACC0001649,ACC0002059,313.56,P2P,2026-08-01 09:03:49.591913,UPI_APP
TXN0001902,ACC0000715,ACC0002881,51.77,P2M,2026-08-01 09:04:05.724123,UPI_APP
TXN0036289,ACC0003126,ACC0003300,526.63,P2P,2026-08-01 09:04:10.234141,QR
TXN0039205,ACC0001636,ACC0003311,473.37,P2M,2026-08-01 09:04:17.402431,QR
TXN0014171,ACC0000215,ACC0001556,1449.36,P2P,2026-08-01 09:04:52.428294,UPI_APP
TXN0034814,ACC0000783,ACC0001260,4000.48,P2P,2026-08-01 09:05:01.706621,QR
TXN0045429,ACC0003404,ACC0002057,1843.8,P2P,2026-08-01 09:05:28.890789,INTENT
TXN0006216,ACC0000796,ACC0002798,4930.15,P2P,2026-08-01 09:05:42.769830,QR
TXN0022547,ACC0004140,ACC0000177,333.77,P2P,2026-08-01 09:05:53.840057,UPI_APP
TXN0040192,ACC0002486,ACC0000086,998.25,P2M,2026-08-01 09:06:00.339810,QR
TXN0030449,ACC0003619,ACC0002353,165.29,P2P,2026-08-01 09:06:05.993471,QR
TXN0045163,ACC0001795,ACC0004056,285.63,P2M,2026-08-01 09:06:06.011598,UPI_APP
TXN0034649,ACC0001379,ACC0001421,2246.27,P2P,2026-08-01 09:06:15.070417,INTENT
TXN0015109,ACC0003414,ACC0002608,585.46,P2M,2026-08-01 09:06:16.194107,INTENT
TXN0029208,ACC0003409,ACC0000545,53.02,P2P,2026-08-01 09:06:20.670881,UPI_APP
TXN0012289,ACC0004094,ACC0001115,718.39,P2P,2026-08-01 09:06:22.460168,INTENT
TXN0043815,ACC0001794,ACC0001600,1430.87,P2P,2026-08-01 09:06:24.481963,QR
TXN0035348,ACC0002074,ACC0003059,814.85,P2P,2026-08-01 09:06:25.215517,UPI_APP
TXN0010787,ACC0001590,ACC0003999,435.83,P2M,2026-08-01 09:06:34.697031,UPI_APP
TXN0020161,ACC0000560,ACC0002885,2372.43,P2P,2026-08-01 09:06:50.345575,QR
TXN0027728,ACC0001348,ACC0000457,1401.71,P2P,2026-08-01 09:06:51.133163,UPI_APP
TXN0049737,ACC0004187,ACC0002738,819.7,P2M,2026-08-01 09:06:51.681921,INTENT
TXN0009674,ACC0002214,ACC0000873,377.78,P2M,2026-08-01 09:07:20.544349,QR
TXN0033746,ACC0000110,ACC0003612,3593.56,P2P,2026-08-01 09:07:26.916234,UPI_APP
TXN0015403,ACC0002594,ACC0000909,847.88,REFUND,2026-08-01 09:07:34.163033,QR
TXN0042171,ACC0002660,ACC0003912,363.44,P2M,2026-08-01 09:08:06.289438,INTENT
TXN0028494,ACC0002070,ACC0003136,489.34,P2P,2026-08-01 09:08:11.660651,INTENT
TXN0016390,ACC0000822,ACC0001728,174.01,P2P,2026-08-01 09:08:24.889932,INTENT
TXN0001741,ACC0004059,ACC0003755,748.52,P2P,2026-08-01 09:09:00.520657,UPI_APP
TXN0032481,ACC0003163,ACC0004444,1812.6,P2M,2026-08-01 09:09:22.879700,UPI_APP
TXN0030940,ACC0001365,ACC0003571,55.99,P2M,2026-08-01 09:09:33.597543,INTENT
TXN0032729,ACC0000137,ACC0001641,801.76,P2P,2026-08-01 09:09:36.760477,QR
TXN0041653,ACC0002459,ACC0003389,559.53,P2P,2026-08-01 09:09:44.430079,INTENT
TXN0045066,ACC0003473,ACC0002708,4897.32,REFUND,2026-08-01 09:09:49.503082,UPI_APP
TXN0010233,ACC0003407,ACC0000031,189.64,P2P,2026-08-01 09:09:50.143048,QR
TXN0023591,ACC0004051,ACC0003655,187.25,P2P,2026-08-01 09:09:58.969976,QR
TXN0020018,ACC0002767,ACC0001025,309.43,P2P,2026-08-01 09:09:59.320376,UPI_APP
TXN0019119,ACC0002244,ACC0002947,7474.21,P2M,2026-08-01 09:10:05.690868,UPI_APP
TXN0003093,ACC0004400,ACC0003871,372.19,P2P,2026-08-01 09:10:07.803488,INTENT
TXN0047926,ACC0001418,ACC0002742,428.22,P2P,2026-08-01 09:10:29.420695,UPI_APP
TXN0031517,ACC0003364,ACC0002252,463.83,P2P,2026-08-01 09:10:44.776403,INTENT
TXN0018877,ACC0002282,ACC0000825,288.88,P2P,2026-08-01 09:10:46.996269,QR
TXN0002167,ACC0002917,ACC0001486,204.28,P2P,2026-08-01 09:11:13.916314,INTENT
TXN0021986,ACC0000694,ACC0001057,629.1,P2M,2026-08-01 09:11:17.390570,QR
TXN0022880,ACC0000247,ACC0002303,931.05,P2P,2026-08-01 09:11:26.998279,UPI_APP
TXN0029334,ACC0001048,ACC0001839,2117.07,P2M,2026-08-01 09:11:45.015249,QR
TXN0026883,ACC0003869,ACC0003034,270.08,P2P,2026-08-01 09:12:12.102668,UPI_APP
TXN0041434,ACC0002048,ACC0000405,1433.63,P2P,2026-08-01 09:12:19.246537,INTENT
TXN0026949,ACC0003784,ACC0003922,355.31,P2P,2026-08-01 09:12:20.728805,QR
TXN0007962,ACC0001268,ACC0002105,1034.38,P2P,2026-08-01 09:12:26.344617,UPI_APP
TXN0036919,ACC0001970,ACC0000978,173.28,REFUND,2026-08-01 09:12:37.808916,QR
TXN0016196,ACC0000498,ACC0004159,223.99,P2P,2026-08-01 09:13:03.376932,UPI_APP
