txn_id,ring_id,pattern_type,is_planted
TXN0050174,RING_SMURF_013,smurfing,True
TXN0050175,RING_SMURF_013,smurfing,True
TXN0050176,RING_SMURF_013,smurfing,True
TXN0050177,RING_SMURF_013,smurfing,True
TXN0050178,RING_SMURF_013,smurfing,True
TXN0050179,RING_SMURF_013,smurfing,True
TXN0050180,RING_SMURF_013,smurfing,True
TXN0050181,RING_SMURF_013,smurfing,True
TXN0050182,RING_SMURF_014,smurfing,True
TXN0050183,RING_SMURF_014,smurfing,True
TXN0050184,RING_SMURF_014,smurfing,True
TXN0050185,RING_SMURF_014,smurfing,True
TXN0050186,RING_SMURF_014,smurfing,True
TXN0050187,RING_SMURF_014,smurfing,True
TXN0050188,RING_SMURF_014,smurfing,True
TXN0050189,RING_SMURF_014,smurfing,True
TXN0050190,RING_SMURF_014,smurfing,True
TXN0050191,RING_LAYER_000,layering,True
TXN0050192,RING_LAYER_000,layering,True
TXN0050193,RING_LAYER_000,layering,True
TXN0050194,RING_LAYER_000,layering,True
TXN0050195,RING_LAYER_000,layering,True
TXN0050196,RING_LAYER_000,layering,True
TXN0050197,RING_LAYER_000,layering,True
TXN0050198,RING_LAYER_001,layering,True
TXN0050199,RING_LAYER_001,layering,True
TXN0050200,RING_LAYER_001,layering,True
TXN0050201,RING_LAYER_001,layering,True
TXN0050202,RING_LAYER_001,layering,True
TXN0050203,RING_LAYER_001,layering,True
TXN0050204,RING_LAYER_001,layering,True
TXN0050205,RING_LAYER_002,layering,True
TXN0050206,RING_LAYER_002,layering,True
TXN0050207,RING_LAYER_002,layering,True
TXN0050208,RING_LAYER_002,layering,True
TXN0050209,RING_LAYER_002,layering,True
TXN0050210,RING_LAYER_002,layering,True
TXN0050211,RING_LAYER_002,layering,True
TXN0050212,RING_LAYER_003,layering,True
TXN0050213,RING_LAYER_003,layering,True
TXN0050214,RING_LAYER_004,layering,True
TXN0050215,RING_LAYER_004,layering,True
TXN0050216,RING_LAYER_004,layering,True
TXN0050217,RING_LAYER_004,layering,True
TXN0050218,RING_LAYER_005,layering,True
TXN0050219,RING_LAYER_005,layering,True
TXN0050220,RING_LAYER_006,layering,True
TXN0050221,RING_LAYER_006,layering,True
TXN0050222,RING_LAYER_006,layering,True
TXN0050223,RING_LAYER_006,layering,True
TXN0050224,RING_LAYER_006,layering,True
TXN0050225,RING_LAYER_006,layering,True
TXN0050226,RING_LAYER_006,layering,True
TXN0050227,RING_LAYER_007,layering,True
TXN0050228,RING_LAYER_007,layering,True
TXN0050229,RING_LAYER_007,layering,True
TXN0050230,RING_LAYER_007,layering,True
TXN0050231,RING_LAYER_007,layering,True
TXN0050232,RING_LAYER_007,layering,True
TXN0050233,RING_LAYER_007,layering,True
TXN0050234,RING_LAYER_008,layering,True
TXN0050235,RING_LAYER_008,layering,True
TXN0050236,RING_LAYER_008,layering,True
TXN0050237,RING_LAYER_009,layering,True
TXN0050238,RING_LAYER_009,layering,True
TXN0050239,RING_LAYER_010,layering,True
TXN0050240,RING_LAYER_010,layering,True
TXN0050241,RING_LAYER_011,layering,True
TXN0050242,RING_LAYER_011,layering,True
TXN0050243,RING_LAYER_011,layering,True
TXN0050244,RING_LAYER_011,layering,True
TXN0050245,RING_LAYER_011,layering,True
TXN0050246,RING_LAYER_011,layering,True
TXN0050247,RING_LAYER_011,layering,True
TXN0050248,RING_LAYER_012,layering,True
TXN0050249,RING_LAYER_012,layering,True
TXN0050250,RING_LAYER_012,layering,True
TXN0050251,RING_LAYER_012,layering,True
TXN0050252,RING_LAYER_012,layering,True
TXN0050253,RING_LAYER_012,layering,True
TXN0050254,RING_LAYER_013,layering,True
TXN0050255,RING_LAYER_013,layering,True
TXN0050256,RING_LAYER_013,layering,True
TXN0050257,RING_LAYER_013,layering,True
TXN0050258,RING_LAYER_014,layering,True
TXN0050259,RING_LAYER_014,layering,True
TXN0050260,RING_LAYER_014,layering,True
TXN0050261,RING_LAYER_014,layering,True
TXN0050262,RING_MULE_000,mule,True
TXN0050263,RING_MULE_000,mule,True
TXN0050264,RING_MULE_000,mule,True
TXN0050265,RING_MULE_000,mule,True
TXN0050266,RING_MULE_000,mule,True
TXN0050267,RING_MULE_000,mule,True
TXN0050268,RING_MULE_000,mule,True
TXN0050269,RING_MULE_000,mule,True
TXN0050270,RING_MULE_000,mule,True
TXN0050271,RING_MULE_000,mule,True
TXN0050272,RING_MULE_000,mule,True
TXN0050273,RING_MULE_000,mule,True
TXN0050274,RING_MULE_000,mule,True
TXN0050275,RING_MULE_000,mule,True
TXN0050276,RING_MULE_000,mule,True
TXN0050277,RING_MULE_000,mule,True
TXN0050278,RING_MULE_000,mule,True
TXN0050279,RING_MULE_000,mule,True
TXN0050280,RING_MULE_000,mule,True
TXN0050281,RING_MULE_000,mule,True
TXN0050282,RING_MULE_001,mule,True
TXN0050283,RING_MULE_001,mule,True
TXN0050284,RING_MULE_001,mule,True
TXN0050285,RING_MULE_001,mule,True
TXN0050286,RING_MULE_001,mule,True
TXN0050287,RING_MULE_001,mule,True
TXN0050288,RING_MULE_001,mule,True
TXN0050289,RING_MULE_001,mule,True
TXN0050290,RING_MULE_001,mule,True
TXN0050291,RING_MULE_001,mule,True
TXN0050292,RING_MULE_001,mule,True
TXN0050293,RING_MULE_001,mule,True
TXN0050294,RING_MULE_001,mule,True
TXN0050295,RING_MULE_001,mule,True
TXN0050296,RING_MULE_001,mule,True
TXN0050297,RING_MULE_001,mule,True
TXN0050298,RING_MULE_001,mule,True
TXN0050299,RING_MULE_001,mule,True
TXN0050300,RING_MULE_001,mule,True
TXN0050301,RING_MULE_001,mule,True
TXN0050302,RING_MULE_002,mule,True
TXN0050303,RING_MULE_002,mule,True
TXN0050304,RING_MULE_002,mule,True
TXN0050305,RING_MULE_002,mule,True
TXN0050306,RING_MULE_002,mule,True
TXN0050307,RING_MULE_002,mule,True
TXN0050308,RING_MULE_002,mule,True
TXN0050309,RING_MULE_002,mule,True
TXN0050310,RING_MULE_002,mule,True
TXN0050311,RING_MULE_002,mule,True
TXN0050312,RING_MULE_002,mule,True
TXN0050313,RING_MULE_002,mule,True
TXN0050314,RING_MULE_002,mule,True
TXN0050315,RING_MULE_002,mule,True
TXN0050316,RING_MULE_002,mule,True
TXN0050317,RING_MULE_002,mule,True
TXN0050318,RING_MULE_002,mule,True
TXN0050319,RING_MULE_003,mule,True
TXN0050320,RING_MULE_003,mule,True
TXN0050321,RING_MULE_003,mule,True
TXN0050322,RING_MULE_003,mule,True
TXN0050323,RING_MULE_003,mule,True
TXN0050324,RING_MULE_003,mule,True
TXN0050325,RING_MULE_003,mule,True
TXN0050326,RING_MULE_003,mule,True
TXN0050327,RING_MULE_003,mule,True
TXN0050328,RING_MULE_003,mule,True
TXN0050329,RING_MULE_003,mule,True
TXN0050330,RING_MULE_003,mule,True
TXN0050331,RING_MULE_003,mule,True
TXN0050332,RING_MULE_003,mule,True
TXN0050333,RING_MULE_003,mule,True
TXN0050334,RING_MULE_003,mule,True
TXN0050335,RING_MULE_004,mule,True
TXN0050336,RING_MULE_004,mule,True
TXN0050337,RING_MULE_004,mule,True
TXN0050338,RING_MULE_004,mule,True
TXN0050339,RING_MULE_004,mule,True
TXN0050340,RING_MULE_004,mule,True
TXN0050341,RING_MULE_004,mule,True
TXN0050342,RING_MULE_004,mule,True
TXN0050343,RING_MULE_004,mule,True
TXN0050344,RING_MULE_004,mule,True
TXN0050345,RING_MULE_004,mule,True
TXN0050346,RING_MULE_004,mule,True
TXN0050347,RING_MULE_004,mule,True
TXN0050348,RING_MULE_004,mule,True
TXN0050349,RING_MULE_004,mule,True
TXN0050350,RING_MULE_004,mule,True
TXN0050351,RING_MULE_004,mule,True
TXN0050352,RING_MULE_004,mule,True
TXN0050353,RING_MULE_004,mule,True
TXN0050354,RING_MULE_005,mule,True
TXN0050355,RING_MULE_005,mule,True
TXN0050356,RING_MULE_005,mule,True
TXN0050357,RING_MULE_005,mule,True
TXN0050358,RING_MULE_005,mule,True
TXN0050359,RING_MULE_005,mule,True
TXN0050360,RING_MULE_005,mule,True
TXN0050361,RING_MULE_005,mule,True
TXN0050362,RING_MULE_005,mule,True
TXN0050363,RING_MULE_005,mule,True
TXN0050364,RING_MULE_005,mule,True
TXN0050365,RING_MULE_005,mule,True
TXN0050366,RING_MULE_005,mule,True
TXN0050367,RING_MULE_005,mule,True
TXN0050368,RING_MULE_005,mule,True
TXN0050369,RING_MULE_005,mule,True
TXN0050370,RING_MULE_005,mule,True
TXN0050371,RING_MULE_005,mule,True
TXN0050372,RING_MULE_005,mule,True
TXN0050373,RING_MULE_005,mule,True
TXN0050374,RING_MULE_005,mule,True
TXN0050375,RING_MULE_005,mule,True
TXN0050376,RING_MULE_005,mule,True
TXN0050377,RING_MULE_005,mule,True
TXN0050378,RING_MULE_005,mule,True
TXN0050379,RING_MULE_006,mule,True
TXN0050380,RING_MULE_006,mule,True
TXN0050381,RING_MULE_006,mule,True
TXN0050382,RING_MULE_006,mule,True
TXN0050383,RING_MULE_006,mule,True
TXN0050384,RING_MULE_006,mule,True
TXN0050385,RING_MULE_006,mule,True
TXN0050386,RING_MULE_006,mule,True
TXN0050387,RING_MULE_006,mule,True
TXN0050388,RING_MULE_006,mule,True
TXN0050389,RING_MULE_006,mule,True
TXN0050390,RING_MULE_006,mule,True
TXN0050391,RING_MULE_006,mule,True
TXN0050392,RING_MULE_006,mule,True
TXN0050393,RING_MULE_006,mule,True
TXN0050394,RING_MULE_006,mule,True
TXN0050395,RING_MULE_006,mule,True
TXN0050396,RING_MULE_006,mule,True
TXN0050397,RING_MULE_006,mule,True
TXN0050398,RING_MULE_006,mule,True
TXN0050399,RING_MULE_006,mule,True
TXN0050400,RING_MULE_006,mule,True
TXN0050401,RING_MULE_007,mule,True
TXN0050402,RING_MULE_007,mule,True
TXN0050403,RING_MULE_007,mule,True
TXN0050404,RING_MULE_007,mule,True
TXN0050405,RING_MULE_007,mule,True
TXN0050406,RING_MULE_007,mule,True
TXN0050407,RING_MULE_007,mule,True
TXN0050408,RING_MULE_007,mule,True
TXN0050409,RING_MULE_007,mule,True
TXN0050410,RING_MULE_007,mule,True
TXN0050411,RING_MULE_007,mule,True
TXN0050412,RING_MULE_007,mule,True
TXN0050413,RING_MULE_007,mule,True
TXN0050414,RING_MULE_007,mule,True
TXN0050415,RING_MULE_007,mule,True
TXN0050416,RING_MULE_007,mule,True
TXN0050417,RING_MULE_007,mule,True
TXN0050418,RING_MULE_007,mule,True
TXN0050419,RING_MULE_007,mule,True
TXN0050420,RING_MULE_007,mule,True
TXN0050421,RING_MULE_007,mule,True
TXN0050422,RING_MULE_007,mule,True
TXN0050423,RING_MULE_007,mule,True
TXN0050424,RING_MULE_008,mule,True
TXN0050425,RING_MULE_008,mule,True
TXN0050426,RING_MULE_008,mule,True
TXN0050427,RING_MULE_008,mule,True
TXN0050428,RING_MULE_008,mule,True
TXN0050429,RING_MULE_008,mule,True
TXN0050430,RING_MULE_008,mule,True
TXN0050431,RING_MULE_008,mule,True
TXN0050432,RING_MULE_008,mule,True
TXN0050433,RING_MULE_008,mule,True
TXN0050434,RING_MULE_008,mule,True
TXN0050435,RING_MULE_008,mule,True
TXN0050436,RING_MULE_008,mule,True
TXN0050437,RING_MULE_008,mule,True
TXN0050438,RING_MULE_008,mule,True
TXN0050439,RING_MULE_008,mule,True
TXN0050440,RING_MULE_008,mule,True
TXN0050441,RING_MULE_008,mule,True
TXN0050442,RING_MULE_009,mule,True
TXN0050443,RING_MULE_009,mule,True
TXN0050444,RING_MULE_009,mule,True
TXN0050445,RING_MULE_009,mule,True
TXN0050446,RING_MULE_009,mule,True
TXN0050447,RING_MULE_009,mule,True
TXN0050448,RING_MULE_009,mule,True
TXN0050449,RING_MULE_009,mule,True
TXN0050450,RING_MULE_009,mule,True
TXN0050451,RING_MULE_009,mule,True
TXN0050452,RING_MULE_009,mule,True
TXN0050453,RING_MULE_009,mule,True
TXN0050454,RING_MULE_009,mule,True
TXN0050455,RING_MULE_009,mule,True
TXN0050456,RING_MULE_009,mule,True
TXN0050457,RING_MULE_009,mule,True
TXN0050458,RING_MULE_009,mule,True
TXN0050459,RING_MULE_009,mule,True
TXN0050460,RING_MULE_009,mule,True
TXN0050461,RING_MULE_009,mule,True
TXN0050462,RING_MULE_009,mule,True
TXN0050463,RING_MULE_009,mule,True
TXN0050464,RING_MULE_009,mule,True
TXN0050465,RING_MULE_009,mule,True
TXN0050466,RING_MULE_009,mule,True
